,step,data_seen,loss,lr
0,9,320,0.7940599,2.0261388e-05
1,19,640,0.79294753,2.052274e-05
2,29,960,0.7947296,2.0784093e-05
3,39,1280,0.79847634,2.1045329e-05
4,49,1600,0.7989137,2.1306681e-05
5,59,1920,0.79764855,2.1568034e-05
6,69,2240,0.7986523,2.1829386e-05
7,79,2560,0.7958942,2.2090622e-05
8,89,2880,0.79893845,2.2351975e-05
9,99,3200,0.792758,2.2613327e-05
10,109,3520,0.7952823,2.287468e-05
11,119,3840,0.7897093,2.3136032e-05
12,129,4160,0.80130404,2.3397384e-05
13,139,4480,0.79815316,2.3658678e-05
14,149,4800,0.78987527,2.392003e-05
15,159,5120,0.79105294,2.4181383e-05
16,169,5440,0.7822845,2.4442736e-05
17,179,5760,0.79078376,2.470403e-05
18,189,6080,0.7882322,2.4965382e-05
19,199,6400,0.7776089,2.5226676e-05
20,209,6720,0.7629108,2.5488029e-05
21,219,7040,0.76366484,2.5749323e-05
22,229,7360,0.7481528,2.6010675e-05
23,239,7680,0.729872,2.6272028e-05
24,249,8000,0.70378435,2.653338e-05
25,259,8320,0.6832042,2.6794674e-05
26,269,8640,0.65634376,2.7056027e-05
27,279,8960,0.62970483,2.731738e-05
28,289,9280,0.5887628,2.7578732e-05
29,299,9600,0.5454455,2.7840026e-05
30,309,9920,0.5082813,2.8101378e-05
31,319,10240,0.46887082,2.836273e-05
32,329,10560,0.43663985,2.8624083e-05
33,339,10880,0.42068776,2.8885319e-05
34,349,11200,0.39967263,2.9146671e-05
35,359,11520,0.381789,2.9408024e-05
36,369,11840,0.37361827,2.9669376e-05
37,379,12160,0.3585489,2.993067e-05
38,389,12480,0.34832534,3.0192023e-05
39,399,12800,0.3541741,3.0453375e-05
40,409,13120,0.34002233,3.0714727e-05
41,419,13440,0.34035558,3.097602e-05
42,429,13760,0.33873177,3.1237374e-05
43,439,14080,0.33234072,3.1498726e-05
44,449,14400,0.31957185,3.176008e-05
45,459,14720,0.30962962,3.2021373e-05
46,469,15040,0.29631674,3.2282667e-05
47,479,15360,0.3016036,3.254402e-05
48,489,15680,0.29796612,3.2805372e-05
49,499,16000,0.3001678,3.3066666e-05
50,509,16320,0.2776292,3.332802e-05
51,519,16640,0.2941997,3.358937e-05
52,529,16960,0.29589784,3.3850723e-05
53,539,17280,0.2826147,3.4112018e-05
54,549,17600,0.27627397,3.437337e-05
55,559,17920,0.27321744,3.4634722e-05
56,569,18240,0.29600292,3.4896075e-05
57,579,18560,0.29396975,3.515737e-05
58,589,18880,0.2721196,3.541872e-05
59,599,19200,0.28098845,3.5680016e-05
60,609,19520,0.27437618,3.5941368e-05
61,619,19840,0.27082577,3.6202662e-05
62,629,20160,0.27905545,3.6464015e-05
63,639,20480,0.27133077,3.6725367e-05
64,649,20800,0.26828754,3.698672e-05
65,659,21120,0.26739904,3.7248014e-05
66,669,21440,0.25861907,3.7509366e-05
67,679,21760,0.2699068,3.777072e-05
68,689,22080,0.248039,3.803207e-05
69,699,22400,0.26610702,3.8293365e-05
70,709,22720,0.24677265,3.8554717e-05
71,719,23040,0.24906597,3.881607e-05
72,729,23360,0.2661053,3.9077364e-05
73,739,23680,0.26546085,3.9338658e-05
74,749,24000,0.26289934,3.960001e-05
75,759,24320,0.24549617,3.9861363e-05
76,769,24640,0.26272032,4.0122715e-05
77,779,24960,0.24635112,4.038401e-05
78,789,25280,0.2450116,4.0645362e-05
79,799,25600,0.2579018,4.0906714e-05
80,809,25920,0.24693593,4.1168067e-05
81,819,26240,0.2524613,4.142936e-05
82,829,26560,0.25377864,4.1690713e-05
83,839,26880,0.2408121,4.1952066e-05
84,849,27200,0.24933489,4.2213418e-05
85,859,27520,0.2536295,4.2474712e-05
86,869,27840,0.25053084,4.2736006e-05
87,879,28160,0.23775016,4.299736e-05
88,889,28480,0.2395556,4.325871e-05
89,899,28800,0.2545148,4.3520005e-05
90,909,29120,0.2341914,4.3781358e-05
91,919,29440,0.23195994,4.404271e-05
92,929,29760,0.24827948,4.4304063e-05
93,939,30080,0.23790047,4.4565357e-05
94,949,30400,0.24191046,4.482671e-05
95,959,30720,0.2455557,4.508806e-05
96,969,31040,0.24717373,4.5349414e-05
97,979,31360,0.239729,4.561071e-05
98,989,31680,0.219933,4.5872002e-05
99,999,32000,0.24118972,4.6133355e-05
0,1009,32320,0.2555502,4.6394707e-05
1,1019,32640,0.23236471,4.6656e-05
2,1029,32960,0.24867813,4.6917354e-05
3,1039,33280,0.24469933,4.7178706e-05
4,1049,33600,0.21829295,4.744006e-05
5,1059,33920,0.23746566,4.7701353e-05
6,1069,34240,0.24246168,4.7962705e-05
7,1079,34560,0.23771511,4.8224058e-05
8,1089,34880,0.23783356,4.848541e-05
9,1099,35200,0.23853162,4.8746704e-05
10,1109,35520,0.230038,4.9008057e-05
11,1119,35840,0.2318395,4.926941e-05
12,1129,36160,0.2251366,4.9530703e-05
13,1139,36480,0.22233972,4.9791997e-05
14,1149,36800,0.23802045,5.005335e-05
15,1159,37120,0.2311597,5.0314702e-05
16,1169,37440,0.23821001,5.0576054e-05
17,1179,37760,0.24109623,5.083735e-05
18,1189,38080,0.2295453,5.10987e-05
19,1199,38400,0.23902367,5.1360053e-05
20,1209,38720,0.2207957,5.1621406e-05
21,1219,39040,0.22253634,5.18827e-05
22,1229,39360,0.23365855,5.2144052e-05
23,1239,39680,0.2727806,5.2405405e-05
24,1249,40000,0.22280806,5.2666757e-05
25,1259,40320,0.22884639,5.2927993e-05
26,1269,40640,0.24057034,5.3189346e-05
27,1279,40960,0.2428354,5.3450698e-05
28,1289,41280,0.23705716,5.371205e-05
29,1299,41600,0.21693736,5.3973345e-05
30,1309,41920,0.23290578,5.4234697e-05
31,1319,42240,0.22977026,5.449605e-05
32,1329,42560,0.22890154,5.47574e-05
33,1339,42880,0.23381251,5.5018696e-05
34,1349,43200,0.23266596,5.528005e-05
35,1359,43520,0.22886513,5.55414e-05
36,1369,43840,0.20011556,5.5802753e-05
37,1379,44160,0.23756418,5.6064047e-05
38,1389,44480,0.2307815,5.63254e-05
39,1399,44800,0.2096574,5.6586694e-05
40,1409,45120,0.22410671,5.6848046e-05
41,1419,45440,0.22782862,5.710934e-05
42,1429,45760,0.23444489,5.7370693e-05
43,1439,46080,0.23066881,5.7632045e-05
44,1449,46400,0.22436315,5.789334e-05
45,1459,46720,0.23619163,5.8154692e-05
46,1469,47040,0.22614095,5.8416044e-05
47,1479,47360,0.20884216,5.8677397e-05
48,1489,47680,0.21571179,5.893869e-05
49,1499,48000,0.21646315,5.9200043e-05
50,1509,48320,0.21423063,5.9461396e-05
51,1519,48640,0.23345323,5.972269e-05
52,1529,48960,0.2237353,5.9983984e-05
53,1539,49280,0.22930868,6.0245336e-05
54,1549,49600,0.22669783,6.050669e-05
55,1559,49920,0.2291781,6.076804e-05
56,1569,50240,0.22418731,6.1029335e-05
57,1579,50560,0.23662269,6.129069e-05
58,1589,50880,0.21728544,6.155204e-05
59,1599,51200,0.22886565,6.181339e-05
60,1609,51520,0.22824258,6.207469e-05
61,1619,51840,0.22416167,6.233604e-05
62,1629,52160,0.21377745,6.259739e-05
63,1639,52480,0.2155503,6.2858744e-05
64,1649,52800,0.22186454,6.312004e-05
65,1659,53120,0.21633208,6.338133e-05
66,1669,53440,0.21856742,6.3642685e-05
67,1679,53760,0.20407003,6.390404e-05
68,1689,54080,0.22283122,6.416533e-05
69,1699,54400,0.20522116,6.4426684e-05
70,1709,54720,0.2180539,6.4688036e-05
71,1719,55040,0.23261943,6.494939e-05
72,1729,55360,0.24121428,6.521068e-05
