,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
0,9,0.8226652,2.0957086e-05,,,,,,,,,
1,19,0.8093668,2.1914137e-05,,,,,,,,,
2,29,0.78666985,2.2871187e-05,,,,,,,,,
3,39,0.7900878,2.382818e-05,,,,,,,,,
4,49,0.83231866,2.4785171e-05,,,,,,,,,
5,59,0.8030288,2.5742222e-05,,,,,,,,,
6,69,0.8077613,2.6699272e-05,,,,,,,,,
7,79,0.7744805,2.7656264e-05,,,,,,,,,
8,89,0.7711411,2.8613314e-05,,,,,,,,,
9,99,0.77429247,2.9570365e-05,,,,,,,,,
10,109,0.7622783,3.0527357e-05,,,,,,,,,
11,119,0.73916984,3.1484407e-05,,,,,,,,,
12,129,0.7152152,3.2441458e-05,,,,,,,,,
13,139,0.70336866,3.339845e-05,,,,,,,,,
14,149,0.68011594,3.43555e-05,,,,,,,,,
15,159,0.64306295,3.531255e-05,,,,,,,,,
16,169,0.660408,3.6269543e-05,,,,,,,,,
17,179,0.6419531,3.7226593e-05,,,,,,,,,
18,189,0.58931696,3.8183643e-05,,,,,,,,,
19,199,0.5910018,3.9140636e-05,,,,,,,,,
20,209,0.5858443,4.0097686e-05,,,,,,,,,
21,219,0.6261916,4.1054736e-05,,,,,,,,,
22,229,0.5930002,4.201173e-05,,,,,,,,,
23,239,0.5963564,4.296878e-05,,,,,,,,,
24,249,0.5878155,4.392583e-05,,,,,,,,,
25,259,0.5881008,4.488282e-05,,,,,,,,,
26,269,0.6047399,4.583987e-05,,,,,,,,,
27,279,0.57567394,4.6796922e-05,,,,,,,,,
28,289,0.6055393,4.7753914e-05,,,,,,,,,
29,299,0.57598305,4.8710965e-05,,,,,,,,,
30,309,0.5754466,4.9668015e-05,,,,,,,,,
31,319,0.58576393,5.0625065e-05,,,,,,,,,
32,329,0.573998,5.1582057e-05,,,,,,,,,
33,339,0.57801294,5.2539108e-05,,,,,,,,,
34,349,0.60012066,5.349616e-05,,,,,,,,,
35,359,0.5710827,5.445315e-05,,,,,,,,,
36,369,0.59724236,5.54102e-05,,,,,,,,,
37,379,0.57794863,5.636725e-05,,,,,,,,,
38,389,0.59012973,5.7324243e-05,,,,,,,,,
39,399,0.5848889,5.8281294e-05,,,,,,,,,
40,409,0.58106816,5.9238344e-05,,,,,,,,,
41,419,0.5864631,6.0195336e-05,,,,,,,,,
42,429,0.59583193,6.115239e-05,,,,,,,,,
43,439,0.57277477,6.210944e-05,,,,,,,,,
44,449,0.583562,6.306643e-05,,,,,,,,,
45,459,0.5996399,6.402348e-05,,,,,,,,,
46,469,0.5690315,6.498053e-05,,,,,,,,,
47,479,0.5838062,6.593752e-05,,,,,,,,,
48,489,0.58429694,6.689457e-05,,,,,,,,,
49,499,0.5887121,6.785162e-05,,,,,,,,,
50,509,0.57166016,6.8808615e-05,,,,,,,,,
51,519,0.5915561,6.9765665e-05,,,,,,,,,
52,529,0.5788152,7.0722715e-05,,,,,,,,,
53,539,0.57121646,7.167971e-05,,,,,,,,,
54,549,0.57844424,7.263676e-05,,,,,,,,,
55,559,0.57245857,7.359381e-05,,,,,,,,,
56,569,0.5764948,7.45508e-05,,,,,,,,,
57,579,0.57237685,7.550785e-05,,,,,,,,,
58,589,0.5860355,7.64649e-05,,,,,,,,,
59,599,0.5627102,7.742189e-05,,,,,,,,,
60,609,0.5717738,7.8378944e-05,,,,,,,,,
61,619,0.56760216,7.9335994e-05,,,,,,,,,
62,629,0.5456342,8.0292986e-05,,,,,,,,,
63,639,0.5893695,8.125004e-05,,,,,,,,,
64,649,0.5844462,8.220709e-05,,,,,,,,,
65,659,0.56424284,8.316408e-05,,,,,,,,,
66,669,0.5568136,8.412113e-05,,,,,,,,,
67,679,0.5963701,8.507818e-05,,,,,,,,,
68,689,0.5572096,8.603517e-05,,,,,,,,,
69,699,0.55234826,8.699222e-05,,,,,,,,,
70,709,0.5549924,8.794927e-05,,,,,,,,,
71,719,0.56173503,8.8906265e-05,,,,,,,,,
72,729,0.5694475,8.9863315e-05,,,,,,,,,
73,739,0.5482692,9.0820366e-05,,,,,,,,,
74,749,0.56611854,9.177736e-05,,,,,,,,,
75,759,0.5518514,9.273441e-05,,,,,,,,,
76,769,0.55473745,9.369146e-05,,,,,,,,,
77,779,0.5480746,9.464845e-05,,,,,,,,,
78,789,0.5902582,9.56055e-05,,,,,,,,,
79,799,0.5580693,9.656255e-05,,,,,,,,,
80,809,0.5537647,9.751954e-05,,,,,,,,,
81,819,0.5477897,9.8476594e-05,,,,,,,,,
82,829,0.5336914,9.9433644e-05,,,,,,,,,
83,839,0.5514879,0.00010039064,,,,,,,,,
84,849,0.57782954,0.00010134769,,,,,,,,,
85,859,0.55492735,0.00010230474,,,,,,,,,
86,869,0.5535615,0.00010326173,,,,,,,,,
87,879,0.5519448,0.00010421878,,,,,,,,,
88,889,0.5520034,0.00010517583,,,,,,,,,
89,899,0.57249165,0.00010613282,,,,,,,,,
90,909,0.5372317,0.00010708987,,,,,,,,,
91,919,0.5458789,0.00010804692,,,,,,,,,
92,929,0.563069,0.000109003915,,,,,,,,,
93,939,0.54589474,0.000109960965,,,,,,,,,
94,949,0.5632436,0.000110918016,,,,,,,,,
95,959,0.52972233,0.00011187501,,,,,,,,,
96,969,0.542764,0.00011283206,,,,,,,,,
97,979,0.56253266,0.00011378911,,,,,,,,,
98,989,0.5390137,0.00011474616,,,,,,,,,
99,999,0.54118896,0.00011570315,,,,,,,,,
0,1009,0.556924,0.0001166602,,,,,,,,,
1,1019,0.57384694,0.00011761725,,,,,,,,,
2,1029,0.55366457,0.000118574244,,,,,,,,,
3,1039,0.537303,0.000119531294,,,,,,,,,
4,1049,0.566705,0.000120488345,,,,,,,,,
5,1059,0.5360444,0.00012144534,,,,,,,,,
6,1069,0.5255204,0.00012240239,,,,,,,,,
7,1079,0.5452999,0.00012335944,,,,,,,,,
8,1089,0.52890927,0.00012431643,,,,,,,,,
9,1099,0.55532837,0.00012527348,,,,,,,,,
10,1109,0.5277041,0.00012623053,,,,,,,,,
11,1119,0.51577544,0.00012718752,,,,,,,,,
12,1129,0.53704655,0.00012814457,,,,,,,,,
13,1139,0.5736877,0.00012910162,,,,,,,,,
14,1149,0.5619905,0.00013005862,,,,,,,,,
15,1159,0.52220994,0.00013101567,,,,,,,,,
16,1169,0.538738,0.00013197272,,,,,,,,,
17,1179,0.5412431,0.00013292971,,,,,,,,,
18,1189,0.5513107,0.00013388676,,,,,,,,,
19,1199,0.54269874,0.00013484381,,,,,,,,,
20,1209,0.5317236,0.0001358008,,,,,,,,,
21,1219,0.5457008,0.00013675785,,,,,,,,,
22,1229,0.511998,0.0001377149,,,,,,,,,
23,1239,0.5428228,0.0001386719,,,,,,,,,
24,1249,0.5148511,0.00013962894,,,,,,,,,
25,1259,0.5243484,0.000140586,,,,,,,,,
26,1269,0.5116123,0.00014154299,,,,,,,,,
27,1279,0.4969812,0.00014250004,,,,,,,,,
28,1289,0.5221493,0.00014345709,,,,,,,,,
29,1299,0.4979143,0.00014441408,,,,,,,,,
30,1309,0.5255704,0.00014537113,,,,,,,,,
31,1319,0.49521643,0.00014632818,,,,,,,,,
32,1329,0.51595926,0.00014728517,,,,,,,,,
33,1339,0.50100815,0.00014824222,,,,,,,,,
34,1349,0.51600444,0.00014919927,,,,,,,,,
35,1359,0.4878019,0.00015015627,,,,,,,,,
36,1369,0.5230666,0.00015111332,,,,,,,,,
