,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
0,9,0.79442155,2.0957086e-05,,,,,,,,,
1,19,0.795727,2.1914137e-05,,,,,,,,,
2,29,0.7680869,2.2871187e-05,,,,,,,,,
3,39,0.78528947,2.382818e-05,,,,,,,,,
4,49,0.79457444,2.4785171e-05,,,,,,,,,
5,59,0.80230916,2.5742222e-05,,,,,,,,,
6,69,0.79436505,2.6699272e-05,,,,,,,,,
7,79,0.79042035,2.7656264e-05,,,,,,,,,
8,89,0.79887605,2.8613314e-05,,,,,,,,,
9,99,0.79056454,2.9570365e-05,,,,,,,,,
10,109,0.76936555,3.0527357e-05,,,,,,,,,
11,119,0.7375337,3.1484407e-05,,,,,,,,,
12,129,0.7069192,3.2441458e-05,,,,,,,,,
13,139,0.7088769,3.339845e-05,,,,,,,,,
14,149,0.66662115,3.43555e-05,,,,,,,,,
15,159,0.613629,3.531255e-05,,,,,,,,,
16,169,0.62043726,3.6269543e-05,,,,,,,,,
17,179,0.61524105,3.7226593e-05,,,,,,,,,
18,189,0.6357442,3.8183643e-05,,,,,,,,,
19,199,0.6091295,3.9140636e-05,,,,,,,,,
20,209,0.61362207,4.0097686e-05,,,,,,,,,
21,219,0.5880818,4.1054736e-05,,,,,,,,,
22,229,0.5989854,4.201173e-05,,,,,,,,,
23,239,0.5970545,4.296878e-05,,,,,,,,,
24,249,0.61803937,4.392583e-05,,,,,,,,,
25,259,0.5974672,4.488282e-05,,,,,,,,,
26,269,0.61951107,4.583987e-05,,,,,,,,,
27,279,0.60561997,4.6796922e-05,,,,,,,,,
28,289,0.6266282,4.7753914e-05,,,,,,,,,
29,299,0.59926933,4.8710965e-05,,,,,,,,,
30,309,0.6008206,4.9668015e-05,,,,,,,,,
31,319,0.5874262,5.0625065e-05,,,,,,,,,
32,329,0.6125395,5.1582057e-05,,,,,,,,,
33,339,0.593832,5.2539108e-05,,,,,,,,,
34,349,0.60244745,5.349616e-05,,,,,,,,,
35,359,0.5802857,5.445315e-05,,,,,,,,,
36,369,0.58399653,5.54102e-05,,,,,,,,,
37,379,0.5875125,5.636725e-05,,,,,,,,,
38,389,0.60808027,5.7324243e-05,,,,,,,,,
39,399,0.5823441,5.8281294e-05,,,,,,,,,
40,409,0.5989019,5.9238344e-05,,,,,,,,,
41,419,0.58692753,6.0195336e-05,,,,,,,,,
42,429,0.59742427,6.115239e-05,,,,,,,,,
43,439,0.60658336,6.210944e-05,,,,,,,,,
44,449,0.57201946,6.306643e-05,,,,,,,,,
45,459,0.5938449,6.402348e-05,,,,,,,,,
46,469,0.5851996,6.498053e-05,,,,,,,,,
47,479,0.5858023,6.593752e-05,,,,,,,,,
48,489,0.581413,6.689457e-05,,,,,,,,,
49,499,0.6140518,6.785162e-05,,,,,,,,,
50,509,0.57817227,6.8808615e-05,,,,,,,,,
51,519,0.5780266,6.9765665e-05,,,,,,,,,
52,529,0.58529294,7.0722715e-05,,,,,,,,,
53,539,0.60387003,7.167971e-05,,,,,,,,,
54,549,0.585039,7.263676e-05,,,,,,,,,
55,559,0.596201,7.359381e-05,,,,,,,,,
56,569,0.5868736,7.45508e-05,,,,,,,,,
57,579,0.5885302,7.550785e-05,,,,,,,,,
