,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
0,9,0.8185841,2.0957086e-05,,,,,,,,,
1,19,0.8029522,2.1914137e-05,,,,,,,,,
2,29,0.8036721,2.2871187e-05,,,,,,,,,
3,39,0.78392494,2.382818e-05,,,,,,,,,
4,49,0.8058648,2.4785171e-05,,,,,,,,,
5,59,0.8102504,2.5742222e-05,,,,,,,,,
6,69,0.7746011,2.6699272e-05,,,,,,,,,
7,79,0.7732562,2.7656264e-05,,,,,,,,,
8,89,0.760728,2.8613314e-05,,,,,,,,,
9,99,0.7866623,2.9570365e-05,,,,,,,,,
10,109,0.77081585,3.0527357e-05,,,,,,,,,
11,119,0.7413938,3.1484407e-05,,,,,,,,,
12,129,0.71142656,3.2441458e-05,,,,,,,,,
13,139,0.70574677,3.339845e-05,,,,,,,,,
14,149,0.66676664,3.43555e-05,,,,,,,,,
15,159,0.64850366,3.531255e-05,,,,,,,,,
16,169,0.63697857,3.6269543e-05,,,,,,,,,
17,179,0.65469235,3.7226593e-05,,,,,,,,,
18,189,0.63623977,3.8183643e-05,,,,,,,,,
19,199,0.6361599,3.9140636e-05,,,,,,,,,
20,209,0.61220235,4.0097686e-05,,,,,,,,,
21,219,0.61102724,4.1054736e-05,,,,,,,,,
22,229,0.61041796,4.201173e-05,,,,,,,,,
23,239,0.5971464,4.296878e-05,,,,,,,,,
24,249,0.60709697,4.392583e-05,,,,,,,,,
25,259,0.6083975,4.488282e-05,,,,,,,,,
26,269,0.5956057,4.583987e-05,,,,,,,,,
27,279,0.59616244,4.6796922e-05,,,,,,,,,
28,289,0.6094952,4.7753914e-05,,,,,,,,,
29,299,0.60137683,4.8710965e-05,,,,,,,,,
30,309,0.59891593,4.9668015e-05,,,,,,,,,
31,319,0.60557044,5.0625065e-05,,,,,,,,,
32,329,0.595832,5.1582057e-05,,,,,,,,,
33,339,0.5856353,5.2539108e-05,,,,,,,,,
34,349,0.5992095,5.349616e-05,,,,,,,,,
35,359,0.59444517,5.445315e-05,,,,,,,,,
36,369,0.60006535,5.54102e-05,,,,,,,,,
37,379,0.58856225,5.636725e-05,,,,,,,,,
38,389,0.590672,5.7324243e-05,,,,,,,,,
39,399,0.5946275,5.8281294e-05,,,,,,,,,
40,409,0.61393356,5.9238344e-05,,,,,,,,,
41,419,0.59961396,6.0195336e-05,,,,,,,,,
42,429,0.59243625,6.115239e-05,,,,,,,,,
43,439,0.60422677,6.210944e-05,,,,,,,,,
44,449,0.6134237,6.306643e-05,,,,,,,,,
45,459,0.59960043,6.402348e-05,,,,,,,,,
46,469,0.5980016,6.498053e-05,,,,,,,,,
47,479,0.5984925,6.593752e-05,,,,,,,,,
48,489,0.59065115,6.689457e-05,,,,,,,,,
49,499,0.57955885,6.785162e-05,,,,,,,,,
50,509,0.62510335,6.8808615e-05,,,,,,,,,
51,519,0.5976585,6.9765665e-05,,,,,,,,,
52,529,0.5867964,7.0722715e-05,,,,,,,,,
53,539,0.60586584,7.167971e-05,,,,,,,,,
54,549,0.5887482,7.263676e-05,,,,,,,,,
55,559,0.608354,7.359381e-05,,,,,,,,,
56,569,0.6095749,7.45508e-05,,,,,,,,,
57,579,0.5636948,7.550785e-05,,,,,,,,,
58,589,0.60965383,7.64649e-05,,,,,,,,,
59,599,0.5861636,7.742189e-05,,,,,,,,,
60,609,0.6013556,7.8378944e-05,,,,,,,,,
61,619,0.5890045,7.9335994e-05,,,,,,,,,
62,629,0.5881574,8.0292986e-05,,,,,,,,,
63,639,0.59236944,8.125004e-05,,,,,,,,,
64,649,0.6011144,8.220709e-05,,,,,,,,,
65,659,0.5890164,8.316408e-05,,,,,,,,,
66,669,0.6030313,8.412113e-05,,,,,,,,,
67,679,0.6063992,8.507818e-05,,,,,,,,,
68,689,0.5969733,8.603517e-05,,,,,,,,,
69,699,0.57774234,8.699222e-05,,,,,,,,,
70,709,0.5951075,8.794927e-05,,,,,,,,,
71,719,0.60115016,8.8906265e-05,,,,,,,,,
72,729,0.5951247,8.9863315e-05,,,,,,,,,
