,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
0,9,0.82266366,2.0957086e-05,,,,,,,,,
1,19,0.80933243,2.1914137e-05,,,,,,,,,
2,29,0.78664386,2.2871187e-05,,,,,,,,,
3,39,0.7899965,2.382818e-05,,,,,,,,,
4,49,0.832291,2.4785171e-05,,,,,,,,,
5,59,0.80273044,2.5742222e-05,,,,,,,,,
6,69,0.8075943,2.6699272e-05,,,,,,,,,
7,79,0.7740706,2.7656264e-05,,,,,,,,,
8,89,0.7717142,2.8613314e-05,,,,,,,,,
9,99,0.77275896,2.9570365e-05,,,,,,,,,
10,109,0.7589943,3.0527357e-05,,,,,,,,,
11,119,0.74131346,3.1484407e-05,,,,,,,,,
12,129,0.7191014,3.2441458e-05,,,,,,,,,
13,139,0.7143142,3.339845e-05,,,,,,,,,
14,149,0.6720356,3.43555e-05,,,,,,,,,
15,159,0.65778035,3.531255e-05,,,,,,,,,
16,169,0.662168,3.6269543e-05,,,,,,,,,
17,179,0.6548891,3.7226593e-05,,,,,,,,,
18,189,0.6021089,3.8183643e-05,,,,,,,,,
19,199,0.6022333,3.9140636e-05,,,,,,,,,
20,209,0.61101806,4.0097686e-05,,,,,,,,,
21,219,0.6057086,4.1054736e-05,,,,,,,,,
22,229,0.6022141,4.201173e-05,,,,,,,,,
23,239,0.6237953,4.296878e-05,,,,,,,,,
24,249,0.5886985,4.392583e-05,,,,,,,,,
25,259,0.5895332,4.488282e-05,,,,,,,,,
26,269,0.6153962,4.583987e-05,,,,,,,,,
27,279,0.5818364,4.6796922e-05,,,,,,,,,
28,289,0.60643506,4.7753914e-05,,,,,,,,,
29,299,0.5876112,4.8710965e-05,,,,,,,,,
30,309,0.60769093,4.9668015e-05,,,,,,,,,
31,319,0.5988863,5.0625065e-05,,,,,,,,,
32,329,0.60028446,5.1582057e-05,,,,,,,,,
33,339,0.6093099,5.2539108e-05,,,,,,,,,
34,349,0.5900949,5.349616e-05,,,,,,,,,
35,359,0.58086354,5.445315e-05,,,,,,,,,
36,369,0.58446366,5.54102e-05,,,,,,,,,
37,379,0.5764377,5.636725e-05,,,,,,,,,
38,389,0.60587585,5.7324243e-05,,,,,,,,,
39,399,0.6087048,5.8281294e-05,,,,,,,,,
40,409,0.5885161,5.9238344e-05,,,,,,,,,
41,419,0.5748279,6.0195336e-05,,,,,,,,,
42,429,0.573802,6.115239e-05,,,,,,,,,
43,439,0.5919879,6.210944e-05,,,,,,,,,
44,449,0.59762865,6.306643e-05,,,,,,,,,
45,459,0.5925911,6.402348e-05,,,,,,,,,
46,469,0.5747566,6.498053e-05,,,,,,,,,
47,479,0.5953723,6.593752e-05,,,,,,,,,
48,489,0.56793666,6.689457e-05,,,,,,,,,
49,499,0.55631685,6.785162e-05,,,,,,,,,
50,509,0.5693495,6.8808615e-05,,,,,,,,,
51,519,0.60192835,6.9765665e-05,,,,,,,,,
52,529,0.5618328,7.0722715e-05,,,,,,,,,
53,539,0.57459,7.167971e-05,,,,,,,,,
54,549,0.56851983,7.263676e-05,,,,,,,,,
55,559,0.5736406,7.359381e-05,,,,,,,,,
56,569,0.58026713,7.45508e-05,,,,,,,,,
57,579,0.564369,7.550785e-05,,,,,,,,,
58,589,0.5775394,7.64649e-05,,,,,,,,,
59,599,0.5745851,7.742189e-05,,,,,,,,,
60,609,0.58113813,7.8378944e-05,,,,,,,,,
61,619,0.57171816,7.9335994e-05,,,,,,,,,
62,629,0.57280684,8.0292986e-05,,,,,,,,,
63,639,0.59614146,8.125004e-05,,,,,,,,,
64,649,0.5846986,8.220709e-05,,,,,,,,,
65,659,0.58624554,8.316408e-05,,,,,,,,,
66,669,0.57040995,8.412113e-05,,,,,,,,,
67,679,0.5962863,8.507818e-05,,,,,,,,,
68,689,0.5693635,8.603517e-05,,,,,,,,,
69,699,0.5564872,8.699222e-05,,,,,,,,,
70,709,0.55750996,8.794927e-05,,,,,,,,,
