,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
0,9,0.81859565,2.0957086e-05,,,,,,,,,
1,19,0.8029412,2.1914137e-05,,,,,,,,,
2,29,0.8036167,2.2871187e-05,,,,,,,,,
3,39,0.7840791,2.382818e-05,,,,,,,,,
4,49,0.80574274,2.4785171e-05,,,,,,,,,
5,59,0.8102336,2.5742222e-05,,,,,,,,,
6,69,0.77506584,2.6699272e-05,,,,,,,,,
7,79,0.7732775,2.7656264e-05,,,,,,,,,
8,89,0.76100534,2.8613314e-05,,,,,,,,,
9,99,0.78912324,2.9570365e-05,,,,,,,,,
10,109,0.7680915,3.0527357e-05,,,,,,,,,
11,119,0.73995316,3.1484407e-05,,,,,,,,,
12,129,0.7023952,3.2441458e-05,,,,,,,,,
13,139,0.704409,3.339845e-05,,,,,,,,,
14,149,0.6796329,3.43555e-05,,,,,,,,,
15,159,0.646436,3.531255e-05,,,,,,,,,
16,169,0.62713385,3.6269543e-05,,,,,,,,,
17,179,0.6447805,3.7226593e-05,,,,,,,,,
18,189,0.6129414,3.8183643e-05,,,,,,,,,
19,199,0.62564623,3.9140636e-05,,,,,,,,,
20,209,0.6316153,4.0097686e-05,,,,,,,,,
21,219,0.6000364,4.1054736e-05,,,,,,,,,
22,229,0.5996307,4.201173e-05,,,,,,,,,
23,239,0.5912844,4.296878e-05,,,,,,,,,
24,249,0.612512,4.392583e-05,,,,,,,,,
25,259,0.6025151,4.488282e-05,,,,,,,,,
26,269,0.60209155,4.583987e-05,,,,,,,,,
27,279,0.58763725,4.6796922e-05,,,,,,,,,
28,289,0.604622,4.7753914e-05,,,,,,,,,
29,299,0.6106252,4.8710965e-05,,,,,,,,,
30,309,0.6003053,4.9668015e-05,,,,,,,,,
31,319,0.60795164,5.0625065e-05,,,,,,,,,
32,329,0.5853583,5.1582057e-05,,,,,,,,,
33,339,0.5895511,5.2539108e-05,,,,,,,,,
34,349,0.58467996,5.349616e-05,,,,,,,,,
35,359,0.6074054,5.445315e-05,,,,,,,,,
36,369,0.61923635,5.54102e-05,,,,,,,,,
37,379,0.6144999,5.636725e-05,,,,,,,,,
38,389,0.6015276,5.7324243e-05,,,,,,,,,
39,399,0.58794945,5.8281294e-05,,,,,,,,,
40,409,0.59799945,5.9238344e-05,,,,,,,,,
41,419,0.59470457,6.0195336e-05,,,,,,,,,
42,429,0.5897416,6.115239e-05,,,,,,,,,
43,439,0.5976336,6.210944e-05,,,,,,,,,
44,449,0.60775197,6.306643e-05,,,,,,,,,
45,459,0.6018127,6.402348e-05,,,,,,,,,
46,469,0.5883358,6.498053e-05,,,,,,,,,
47,479,0.6075256,6.593752e-05,,,,,,,,,
48,489,0.5889212,6.689457e-05,,,,,,,,,
49,499,0.5909363,6.785162e-05,,,,,,,,,
50,509,0.6135727,6.8808615e-05,,,,,,,,,
51,519,0.60674745,6.9765665e-05,,,,,,,,,
52,529,0.598191,7.0722715e-05,,,,,,,,,
53,539,0.58726597,7.167971e-05,,,,,,,,,
54,549,0.59350294,7.263676e-05,,,,,,,,,
55,559,0.59882706,7.359381e-05,,,,,,,,,
56,569,0.599003,7.45508e-05,,,,,,,,,
57,579,0.5843196,7.550785e-05,,,,,,,,,
58,589,0.5983551,7.64649e-05,,,,,,,,,
59,599,0.586462,7.742189e-05,,,,,,,,,
60,609,0.5915727,7.8378944e-05,,,,,,,,,
61,619,0.5966059,7.9335994e-05,,,,,,,,,
62,629,0.5875995,8.0292986e-05,,,,,,,,,
63,639,0.6234944,8.125004e-05,,,,,,,,,
64,649,0.60029644,8.220709e-05,,,,,,,,,
65,659,0.59981024,8.316408e-05,,,,,,,,,
66,669,0.59298563,8.412113e-05,,,,,,,,,
67,679,0.6103548,8.507818e-05,,,,,,,,,
